	mouseSampleTag5	mouseSampleTag6	mouseSampleTag7	mouseSampleTag8	mouseSampleTag9	TagIDs
Aoki_254850	1.688601388556	-0.417085732378915	0.115140413379759	-0.693328034778423	-0.693328034778423	mouseSampleTag5
Aoki_881351	1.68955134555036	-0.419010023767191	0.112990404752529	-0.691765863267851	-0.691765863267851	mouseSampleTag5
Aoki_363727	1.69810180432687	-0.436733663673015	0.0929405555395793	-0.677154348096716	-0.677154348096716	mouseSampleTag5
Aoki_858882	1.69455406398535	-0.418352602548214	0.097776283987746	-0.686988872712441	-0.686988872712441	mouseSampleTag5
Aoki_676181	1.71020164793131	-0.388836415689563	0.0370485278692511	-0.679206880055499	-0.679206880055499	mouseSampleTag5
Aoki_317471	1.71229629558279	-0.400467759487666	0.0346246586062731	-0.673226597350697	-0.673226597350697	mouseSampleTag5
Aoki_453044	1.71103500975825	-0.403171405916172	0.0398906391428514	-0.673877121492464	-0.673877121492464	mouseSampleTag5
Aoki_174721	1.70601911765995	-0.422426867828771	0.0632918934686623	-0.673442071649922	-0.673442071649922	mouseSampleTag5
Aoki_574036	1.70573108697483	-0.426016547706978	0.0654322759677002	-0.672573407617777	-0.672573407617777	mouseSampleTag5
Aoki_864032	1.71240184441002	-0.43038175359103	0.0449543447488247	-0.663487217783909	-0.663487217783909	mouseSampleTag5
Aoki_136000	1.71357081296766	-0.419039336088027	0.0371593907295469	-0.665845433804592	-0.665845433804592	mouseSampleTag5
Aoki_856060	1.71598428446679	-0.416388240800941	0.0279849236820703	-0.663790483673958	-0.663790483673958	mouseSampleTag5
Aoki_331570	1.70090191300742	-0.373997412872471	0.0611312274478392	-0.694017863791392	-0.694017863791392	mouseSampleTag5
Aoki_402886	1.70306932724787	-0.361205319122563	0.0486191874823332	-0.69524159780382	-0.69524159780382	mouseSampleTag5
Aoki_440137	1.70153022821351	-0.361705386803829	0.0537830511096719	-0.696803946259675	-0.696803946259675	mouseSampleTag5
Aoki_34148	1.69767110503802	-0.387614758372162	0.0768546010898971	-0.693455473877878	-0.693455473877878	mouseSampleTag5
